url_path,title,meta_description,canonical,h1
/locations/mississauga/,Restaurant Marketing in Mississauga | Toronto Restaurant Growth,"Mississauga restaurant marketing that gets you found on Google. We help restaurants along Hurontario, Dixie, and Streetsville grow their visibility and fill tables.",https://torontorestaurantgrowth.ca/locations/mississauga/,Restaurant Marketing in Mississauga
/locations/north-york/,Restaurant Marketing in North York | Toronto Restaurant Growth,"North York restaurant marketing — Yonge Street corridor, Finch Ave food district, and Korean Village. We help North York restaurants rank on Google and fill tables.",https://torontorestaurantgrowth.ca/locations/north-york/,Restaurant Marketing in North York
/locations/restaurant-marketing-brampton/,Restaurant Marketing in Brampton | Toronto Restaurant Growth,"Brampton restaurant marketing for South Asian, halal, and fast-growing suburb restaurants. We help Brampton",https://torontorestaurantgrowth.ca/locations/restaurant-marketing-brampton/,Restaurant Marketing in Brampton
/locations/restaurant-marketing-scarborough/,Restaurant Marketing in Scarborough | Toronto Restaurant Growth,"Scarborough restaurant marketing that drives real results. We help Tamil, Caribbean, Bangladeshi, and global cuisine restaurants get found on Google and packed with local diners.",https://torontorestaurantgrowth.ca/locations/restaurant-marketing-scarborough/,Restaurant Marketing in Scarborough
/locations/vaughan/,Restaurant Marketing in Vaughan | Toronto Restaurant Growth,"Vaughan restaurant marketing — upscale dining, Italian corridor, and Middle Eastern cuisine in one of Ontario",https://torontorestaurantgrowth.ca/locations/vaughan/,Restaurant Marketing in Vaughan
/niche/halal-restaurant-marketing-toronto/,Halal Restaurant Marketing Toronto | The GTA's Only Specialist | Toronto Restaurant Growth,"Halal restaurant marketing in Toronto, Brampton, Scarborough, and Mississauga. Halal directory submissions, Google Maps optimization, Ramadan campaigns, and halal-community social media. The GTA",https://torontorestaurantgrowth.ca/niche/halal-restaurant-marketing-toronto/,Halal Restaurant Marketing in Toronto — The GTA&#39;s Only Specialist
/pricing/,"Pricing — Simple, Transparent Restaurant Marketing | Toronto Restaurant Growth","No hidden fees. No long contracts. One plan: Growth at $997/mo plus $4,997 setup. Social and video available as a separate add-on.",https://torontorestaurantgrowth.ca/pricing/,"Simple, Transparent Pricing"
/privacy/,Privacy Policy — Toronto Restaurant Growth,"How Toronto Restaurant Growth collects, uses, and protects personal information when you use our website or book a consultation.",https://torontorestaurantgrowth.ca/privacy/,Privacy Policy
/services/google-maps-seo/,Google Maps SEO for Restaurants Toronto | Toronto Restaurant Growth,"Google Maps SEO for Toronto and GTA restaurants. Rank in the top 3 for your cuisine and neighbourhood. More searches, more calls, more covers — without ad spend.",https://torontorestaurantgrowth.ca/services/google-maps-seo/,Google Maps SEO for Restaurants Toronto
/services/grand-opening-marketing/,Restaurant Grand Opening Marketing Toronto | Toronto Restaurant Growth,Grand opening marketing for Toronto and GTA restaurants. Launch with a lineup out the door — from pre-opening buzz to packed opening week. TRG runs the full digital campaign.,https://torontorestaurantgrowth.ca/services/grand-opening-marketing/,Restaurant Grand Opening Marketing Toronto
/services/,Restaurant Marketing Services Toronto | Toronto Restaurant Growth,"Five services built exclusively for Toronto and GTA restaurants: website design, social media, Google Maps SEO, review management, and grand opening marketing.",https://torontorestaurantgrowth.ca/services/,Everything Your Restaurant Needs to Win on Google
/services/restaurant-review-management/,Restaurant Review Management Toronto | Toronto Restaurant Growth,"Restaurant review management in Toronto. Get more 5-star reviews, respond to every review professionally, and turn your reputation into your best marketing channel. The GTA",https://torontorestaurantgrowth.ca/services/restaurant-review-management/,Restaurant Review Management Toronto
/services/restaurant-website-design/,Restaurant Website Design Toronto | Toronto Restaurant Growth,"Restaurant website design in Toronto that drives reservations. Fast, mobile-first websites built specifically for GTA restaurants — not one-size-fits-all templates.",https://torontorestaurantgrowth.ca/services/restaurant-website-design/,Restaurant Website Design Toronto
/services/social-media-management/,Restaurant Social Media Management Toronto | Toronto Restaurant Growth,"Social and video content add-on for Toronto restaurants — $3,000/month through Jayden Aj. TikTok, Reels, and on-site production. Not included in core TRG plans.",https://torontorestaurantgrowth.ca/services/social-media-management/,Restaurant Social Media Management Toronto
/terms/,Terms of Use — Toronto Restaurant Growth,Terms governing use of the Toronto Restaurant Growth website and marketing consultations.,https://torontorestaurantgrowth.ca/terms/,Terms of Use
